col.0: MtotZAMS/Msun  col.1:num mergers
430509781.0324014 817
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_1197208 64.188 19.9318 16.2255 14.0273 30.2528 1991.2892 17.084 0.011142 0.0 2.3574 1.0 1.0 2.659 0.0 -0.0 6.431 0.592 -0.03216 4.486 8.194 False
0_1230693 56.9241 17.7966 14.6572 11.4134 26.0706 2640.3765 16.389 0.048189 0.0 16.2678 1.0 0.9997 2.867 0.0 0.0 25.99 -1.048 6.257 4.734 8.701 False
0_1244686 106.6055 33.0558 23.9771 20.2418 44.218900000000005 7845.728 32.118 0.011307 0.0 0.0 1.0 1.0 1.784 0.0 -0.0 3.141 0.0 0.0 3.814 6.672 False
0_1270786 111.3618 33.6111 24.9772 20.5229 45.5001 12845.8711 37.21 0.010989 0.0 0.0 1.0 1.0 1.724 -0.0 -0.0 2.912 0.0 -0.0 3.774 6.62 False
0_1271207 67.625 21.329 17.3411 14.7362 32.0773 12841.6006 28.65 0.015587 0.0 0.0 1.0 1.0 2.286 0.0 0.0 3.893 -0.0 -0.0 4.382 7.987 False
0_1330058 93.2868 28.3847 21.486 18.4204 39.906400000000005 3176.8572 23.637 0.012529 0.0 0.0 1.0 1.0 2.042 0.0 -0.0 3.827 0.0 -0.0 3.949 7.021 False
0_1355091 69.9612 21.989 17.3433 15.1315 32.4748 1995.4015 18.032 0.015397 0.0 0.0 1.0 1.0 2.485 0.0 0.0 4.818 -0.0 -0.0 4.335 7.842 False
0_1371603 31.6864 25.0743 18.7546 5.902 24.6566 8988.1592 494.21 0.98887 13.6235 81.4898 0.9997 0.1577 8.866 -0.532 0.5267 42.85 1.778 -1.834 6.869 8.369 True
0_1442497 110.5269 32.4489 23.7899 20.3608 44.1507 3350.4758 25.839 0.011325 0.0 0.0 1.0 1.0 1.847 0.0 -0.0 3.483 -0.0 -0.0 3.792 6.674 False
0_1446387 56.8033 17.7024 14.7367 11.3511 26.0878 5551.5098 19.812 0.065524 0.0 5.2595 1.0 1.0 2.772 -0.0 0.0 22.41 -0.4152 1.965 4.736 8.729 False
0_1482266 68.625 22.3507 17.5345 15.0801 32.6146 9015.5654 26.501 0.015331 0.0 0.0 1.0 1.0 2.29 0.0 -0.0 3.992 -0.0 -0.0 4.357 7.865 False
0_1530815 58.6135 18.2061 15.1678 11.9747 27.1425 4987.7842 19.85 0.054103 0.0 6.6841 1.0 1.0 2.729 -0.0 0.0 18.14 2.128 1.856 4.666 8.59 False
0_1551018 59.4033 18.7027 15.3803 12.4367 27.817 8486.4834 23.188 0.056729 0.0 6.1861 1.0 1.0 2.587 0.0 0.0 12.82 1.572 2.194 4.635 8.507 False
0_1566369 76.2073 23.1784 19.1993 15.8726 35.0719 12308.2207 30.284 0.014256 0.0 0.0 1.0 1.0 2.185 0.0 -0.0 3.667 0.0 0.0 4.19 7.635 False
0_1566631 133.5858 36.9826 26.7502 22.3412 49.0914 7570.9878 34.412 0.010185 0.0 0.0 1.0 1.0 1.633 0.0 -0.0 2.894 0.0 -0.0 3.652 6.378 False
0_1575821 70.6358 22.8131 17.98 15.363 33.343 8334.3438 26.403 0.014996 0.0 0.0 1.0 1.0 2.274 -0.0 -0.0 3.968 0.0 0.0 4.308 7.777 False
0_1602449 115.2978 33.2117 25.5106 20.5103 46.0209 13356.0693 37.884 0.010865 0.0 0.0 1.0 1.0 1.732 0.0 -0.0 2.898 0.0 -0.0 3.746 6.626 False
0_1616636 148.1029 28.8106 30.4777 4.1201 34.5978 733.2972 1038.0 0.99804 0.0 60.0669 1.0 0.1937 0.5503 0.0 -0.0 13.35 -0.5487 -0.2928 3.571 7.451 True
0_1633478 67.571 22.0874 17.3007 14.9268 32.2275 7759.1548 25.275 0.015515 0.0 0.0 1.0 1.0 2.333 0.0 0.0 4.107 -0.0 0.0 4.384 7.918 False
0_1680764 84.6147 26.6501 20.8041 17.3453 38.1494 12907.7607 32.656 0.013106 0.0 0.0 1.0 1.0 2.006 -0.0 -0.0 3.373 -0.0 0.0 4.05 7.247 False
0_1734164 77.4904 25.4018 19.1996 16.5898 35.7894 5734.5479 25.305 0.013971 0.0 0.0 1.0 1.0 2.17 -0.0 0.0 3.892 0.0 0.0 4.171 7.433 False
0_1804834 58.8815 18.2014 15.2343 12.0301 27.2644 5354.2568 20.28 0.053791 0.0 11.0793 1.0 0.9999 2.714 -0.0 -0.0 17.59 2.656 4.023 4.656 8.58 False
0_1819766 73.6521 23.6896 18.6374 15.8151 34.4525 9650.4307 28.092 0.014513 0.0 0.0 1.0 1.0 2.204 0.0 -0.0 3.796 0.0 0.0 4.242 7.643 False
0_1845229 78.7529 23.6911 19.5361 16.1656 35.7017 6633.8472 26.194 0.014005 0.0 0.0 1.0 1.0 2.235 0.0 0.0 3.907 0.0 0.0 4.147 7.542 False
0_1894249 81.3885 24.6461 20.1995 16.6277 36.827200000000005 11326.7568 30.748 0.013577 0.0 0.0 1.0 1.0 2.113 0.0 0.0 3.558 -0.0 -0.0 4.1 7.432 False
0_1910027 44.2531 41.8463 11.4994 13.4833 24.9827 50.9428 5.8167 0.11849 0.0 3.4557 1.0 1.0 117.8 -24.55 0.0 13.26 -0.1291 -1.362 5.385 5.865 True
0_1912174 81.9056 24.8573 20.269 16.7153 36.9843 10174.4629 30.011 0.013519 0.0 0.0 1.0 1.0 2.116 0.0 0.0 3.591 -0.0 0.0 4.092 7.407 False
0_1913170 73.4841 24.3211 18.5116 15.9983 34.5099 6803.5195 25.725 0.014489 0.0 0.0 1.0 1.0 2.215 0.0 0.0 3.93 -0.0 0.0 4.246 7.59 False
0_1965025 65.9309 20.6653 16.8455 14.4357 31.281200000000002 4785.4546 21.839 0.015984 0.0 0.0 1.0 1.0 2.489 0.0 0.0 4.498 0.0 -0.0 4.43 8.083 False
